,F_max,C_half,k,F_b,DriftSlope,Fluorophore
E5,0.24832525126248584,53.999907584037835,0.5003700773009607,2680.1770298701585,0.757052807512731,FAM
E6,38.149527630080115,53.99991585668834,0.51063260756222,2701.42813507128,0.667320428957875,FAM
E7,17381.146954926626,49.7092362080631,0.5000000000664546,2706.576208655247,0.7557103383077969,FAM
E8,27525.072230097052,53.999999998976186,0.5000000058136721,2682.0882479333736,0.7378414704445817,FAM
E9,28.663141552304864,53.99999750896917,0.5077345751139345,2692.7502206365007,0.7345800941441031,FAM
E10,0.020604469864537123,53.99923866462072,0.5005814044137384,2690.309243114436,0.724411634118057,FAM
E11,12.477448828669765,53.99999999342783,0.5009597031744577,2695.818141748676,0.8269738478598029,FAM
E12,183.8238088572557,53.999495221337625,0.50021975184153,2690.61045012793,0.7830449406418091,FAM
E13,2.11920221710011,53.999994970967904,0.5004764632977202,2735.1329641222374,0.8394879019817579,FAM
E14,31.12760721134657,53.9999997915924,0.511185258122783,2698.371674746039,0.7891954567097801,FAM
E15,133.7280097614239,53.99961281604711,0.5002413870206784,2718.8738317668526,0.7258154171497098,FAM
E16,22.57107555387404,53.999947501828586,0.5010088831192091,2720.3560610024524,0.7916996291143754,FAM
E17,115.9451959337357,53.99969466561559,0.5018800661879884,2701.5232047448844,0.7953707913788063,FAM
E18,0.3353744697663501,53.99955181816787,0.5000350280771011,2715.5986130131955,0.8908217886990107,FAM
E19,605.5279519756082,53.99965384030533,0.5000233589744488,2678.2938006126633,0.809505120572614,FAM
E20,0.08173583310804133,53.99960794194654,0.5002866215787323,2671.4744048495318,0.8955943736037322,FAM
E21,19.66022012975327,53.99997072691053,0.5050376752910269,2693.3975776765687,0.86231164415438,FAM
E22,4.118647157313603,53.99998933463839,0.5013101716662152,2697.5888806769926,0.7656650993423291,FAM
E23,4.756715539721995,53.99999131512509,0.5010692195103511,2668.225367717845,0.7469590395738801,FAM
E24,15.763533561451936,53.99996724147303,0.5002453103038015,2694.4299329719074,0.8339200689905658,FAM
F1,13.932821409037558,53.927137341697524,0.5000000000337753,2677.924113979663,0.6575638125037934,FAM
