,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
E4,3102.838467867089,3151.5189349168745,3162.295795955621,3259.0075238146505,156.16905594756145,0.9702531497552019,40.759440699785344,2.850510213163255,37.92,43.59,5.670000000000002,Texas Red
E5,3132.382214515535,3182.9408874449905,3187.2064616448724,3297.37637877648,164.99416426094513,0.9733110687050034,37.74320904605982,2.418849247948498,37.08,38.4,1.3200000000000003,Texas Red
E6,3091.7724546945624,5900.440934928798,13462.475021919332,16313.25652515017,13221.484070455606,0.9699262394037826,49.42181352291493,3269.262687851813,48.76,50.08,1.3200000000000003,Texas Red
E7,2969.8863983810347,3150.821603628399,3177.686743398136,3225.8256727825938,255.93927440155903,0.8753533384189527,36.97626164185489,19.662973416841382,32.61,41.34,8.730000000000004,Texas Red
E8,2944.8619365865825,3148.014873583153,3172.3712621717755,3225.209301593181,280.34736500659847,0.8661850052744351,35.965657316690525,20.608492826267035,31.1,40.84,9.740000000000002,Texas Red
E9,3121.775233879222,3177.0065259409466,3207.59497049573,3291.6724817434038,169.89724786418174,0.9847409214333643,47.30749787129387,9.525212719762422,42.37,52.24,9.870000000000005,Texas Red
E10,3103.3751635667927,3492.055982809276,4368.041484997233,4772.977987511637,1669.6028239448447,0.9690918928123858,53.9998425002956,377.96078007278743,52.0,56.0,4.0,Texas Red
E11,3194.3905826733135,3302.4065266374723,3396.9652221535925,3521.6453961558154,327.25481348250196,0.9760675636980451,53.999877204551595,41.480010733667335,53.34,54.66,1.3199999999999932,Texas Red
E12,3104.231941526259,4291.908406750271,7377.536555153931,8606.35239311008,5502.120451583822,0.9724359929858847,48.892713975309576,1334.3914785420118,48.23,49.55,1.3200000000000003,Texas Red
E13,2981.3433165014403,3159.320985008802,3166.905348745776,3218.8114245312086,237.46810802976825,0.8665714601917331,32.47193481390868,7.04648563728454,29.42,35.52,6.100000000000001,Texas Red
E14,2946.4238686412896,3174.8689193592368,3184.476573681175,3259.3222508594795,312.8983822181899,0.8825509876171881,33.92600214478644,7.203456862178051,31.58,36.27,4.690000000000005,Texas Red
E15,3157.837951427008,3212.5509307348284,3217.245887091555,3329.0511047570326,171.2131533300244,0.9762772945708151,39.38393159325769,2.637445112208699,38.73,40.04,1.3100000000000023,Texas Red
E16,3157.8273554602515,4250.960150648943,7043.4390596004705,8165.453780238316,5007.626424778064,0.9786241936360265,49.58564954945669,1214.6195692982717,48.93,50.24,1.3100000000000023,Texas Red
E17,3131.553665036459,3948.5180886280905,5978.109344315128,6827.467507678843,3695.9138426423838,0.9680161975164725,49.696390661410895,883.0000622053102,49.04,50.35,1.3100000000000023,Texas Red
