,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
H11,2241.973651391735,2241.973651391735,2272.420192939751,2312.3829954351495,70.40934404341442,0.9866902771577134,12.505395947607706,9.81251890502625,0.0,33.93,33.93,FAM
H12,2198.813900902538,2198.813900902538,2239.565331904373,2339.969982788022,141.15608188548413,0.9933952432160095,3.0344648698470136e-11,27.47569133510674,0.0,13.51,13.51,FAM
A1,2760.6169790740964,2800.5403163588003,2918.8078767791667,3035.809305318917,275.1923262448204,0.9984240000366396,38.8536487507286,21.999352911869018,17.58,60.13,42.550000000000004,HEX
A2,2734.2101970299204,2773.6461626599603,2919.986499928632,3036.8613135910728,302.6511165611523,0.9985045257307364,40.591577753230325,27.62381347941607,15.99,65.19,49.199999999999996,HEX
A3,2811.338900278478,2811.338900278478,2989.1869442763796,3127.904014975634,316.5651146971559,0.9983454118225837,21.03589362049887,47.18519201215563,0.0,55.8,55.8,HEX
A4,2611.2916032657804,3214.679368656415,3997.673296600431,4415.634484713702,1804.3428814479212,0.9980356629088942,83.09956067327144,334.79297957152727,80.65,85.55,4.8999999999999915,HEX
A5,2608.4546153308224,3066.3274216004447,3991.995628392732,4460.523894629765,1852.0692792989425,0.9972234708052203,57.68313742971645,394.2518753103336,53.42,61.95,8.530000000000001,HEX
A6,2589.6678818459304,3111.0501238187853,3938.3623678167064,4381.03824695678,1791.37036511085,0.9958162352302191,72.20364291675456,354.7982072992954,69.81,74.6,4.789999999999992,HEX
A7,2534.993050260524,2941.940289127929,3778.4776651863826,4246.390779632563,1711.397729372039,0.9980738544213368,47.13658729890206,359.55049138875336,44.56,49.71,5.149999999999999,HEX
A8,2500.855957036999,2857.988257020349,3675.422627504873,4072.546638154097,1571.690681117098,0.9973178019874052,45.63948456621959,352.39566044886055,43.26,48.02,4.760000000000005,HEX
A9,2503.186887574987,2819.342638888874,3544.3015425212566,3904.1917260243845,1401.0048384493975,0.997766810540021,43.17010245462262,312.58530749037527,40.95,45.39,4.439999999999998,HEX
A10,2300.7639572728717,2709.47726103703,3252.3609158610725,3324.3551424402085,1023.5911851673368,0.9994859605332408,110.68813463590712,224.98977942677243,104.04,117.34,13.299999999999997,HEX
A11,2427.251176878502,2887.464567794751,3840.600535863946,4279.933800977837,1852.6826240993346,0.993629126827836,64.89437659746167,401.74999449786634,57.71,72.08,14.369999999999997,HEX
A12,2384.5583848600377,2759.7309758134847,3488.298729009447,4010.596117915352,1626.0377330553142,0.9997252290565207,37.30031888384336,312.5708917525424,35.19,39.41,4.219999999999999,HEX
B1,2282.1044005376903,2690.8701690217977,2282.1044005376903,2933.2302413666457,651.1258408289555,0.9979881499543127,120.11209961743691,215.4168075326826,116.79,0.0,-116.79,HEX
B2,2330.934972251171,2814.331825763386,3447.5374696483186,3495.634620816356,1164.6996485651848,0.9989071186275675,116.26568035674799,270.55467694767395,113.2,119.33,6.1299999999999955,HEX
B3,2349.040599819416,2407.422525326447,2497.237087848309,2610.7470246576063,261.7064248381903,0.9985189923760464,43.41572132193701,19.008686264963455,28.05,58.78,30.73,HEX
B4,2407.530584096125,2884.949521072546,3976.884243201873,4518.7271242726665,2111.1965401765415,0.9969731964307494,44.303955861930284,469.22831318809966,41.12,47.48,6.359999999999999,HEX
B5,2385.032870885034,2805.3804717734893,3900.529119358659,4338.5885761832515,1953.5557052982176,0.9981169732009543,42.13172269970341,473.32349038665944,38.92,45.35,6.43,HEX
B6,2412.4641897699166,2972.4058020508437,4116.437352714348,4750.878831813506,2338.414642043589,0.9974588676386166,48.65829349192443,490.6367910221178,45.85,51.46,5.609999999999999,HEX
B7,2491.12689526855,2955.7225259942097,4154.409538075835,4636.906288845319,2145.779393576769,0.9985875787689787,46.24701306235927,518.2692248053332,43.49,49.0,5.509999999999998,HEX
B8,2456.3613534281303,3005.3387406633606,4103.721714451588,4754.194401163282,2297.833047735152,0.9979764402021992,46.17277215043066,468.7451189968845,42.91,49.43,6.520000000000003,HEX
B9,2491.283874234705,2994.7973150902985,4071.2694476158827,4639.3730207247645,2148.0891464900596,0.9988247695247265,47.77780784630614,461.1944005635235,44.45,51.1,6.649999999999999,HEX
B10,2269.6759553570164,2269.6759553570164,2355.6309542305453,2449.82441230246,180.14845694544374,0.9984856349621084,22.126152193252338,17.55709284608569,0.0,45.06,45.06,HEX
B11,2464.364270986167,2940.1362971940125,3991.402322308594,4447.314103625204,1982.9498326390367,0.9970992171434193,65.02721020407398,440.85013786733646,55.13,74.92,19.79,HEX
B12,2490.4393485022533,3041.3117507671177,4132.496094375019,4710.061848645046,2219.6225001427924,0.9945622792288955,56.368656525661955,448.647230739381,47.73,65.01,17.28000000000001,HEX
C1,2206.6165439903016,2620.1605903580567,3417.4256681164024,3724.029265732866,1517.4127217425644,0.9982193160974141,102.10002301643374,343.133940794127,98.83,105.37,6.540000000000006,HEX
C2,2288.445447720849,2770.6080298042793,3875.9772365065105,4198.655441372384,1910.2099936515351,0.9968940353294535,99.14337128649333,472.25997323419307,90.08,108.2,18.120000000000005,HEX
C3,2328.314933240883,2328.315037918425,2497.537419935514,2497.537419935514,169.22248669463124,0.9928301259457908,62.47774194812244,1720.661028509377,0.0,119.99,119.99,HEX
C4,2335.544646207535,2805.157029985968,3942.9629488734895,4457.936504688978,2122.391858481443,0.99489213282784,43.94156159139092,490.02041698925956,40.81,47.07,6.259999999999998,HEX
C5,2373.1187812906173,2861.8647037475234,4069.610262615223,4599.527958635841,2226.4091773452237,0.9970609090084065,43.091307294110926,521.668932563874,40.38,45.8,5.419999999999995,HEX
C6,2386.521004385841,2873.2813493858052,4096.806770137573,4621.495678009309,2234.974673623468,0.9986345894395695,42.71371645449408,527.7796075049304,39.32,46.1,6.780000000000001,HEX
C7,2401.182737413821,2902.8334816240404,4118.877252918257,4661.522738039535,2260.3400006257143,0.9989350183352823,45.70651093821694,523.9791216748341,42.82,48.59,5.770000000000003,HEX
C8,2440.8063664003566,2957.9632909828374,4133.77224501089,4704.237372776824,2263.431006376467,0.998528739957697,47.08329681346745,505.446455528106,43.97,50.2,6.230000000000004,HEX
C9,2483.576446803805,3023.0487253366387,4290.5803475131515,4846.448724162196,2362.8722773583913,0.9989686436137103,54.472598925077214,545.8609720257557,51.11,57.84,6.730000000000004,HEX
C10,2461.2640526962496,3000.3296134235748,3579.9294717758776,3598.4578650243993,1137.1938123281498,0.9949200676655079,112.6812451401603,235.3693223313614,105.94,119.42,13.480000000000004,HEX
C11,2468.527213568268,2998.553584142722,4202.613869053067,4797.743334997809,2329.216121429541,0.9981283050647689,46.4404208206036,512.7785591132741,40.99,51.89,10.899999999999999,HEX
C12,2497.2146147546314,2958.1570350258075,4063.6741632233006,4578.679834697879,2081.465219943248,0.9986579333813375,43.2352829824003,473.65068833048645,38.6,47.87,9.269999999999996,HEX
D1,2358.860037144723,2382.5956984048635,2415.0877194563377,2462.3211241736144,103.4610870288916,0.9836135011491755,41.79125937269238,7.552491277901139,28.79,54.8,26.009999999999998,HEX
D2,2272.8004068927808,2507.562213835437,2272.8004068927808,2559.393378945665,286.5929720528843,0.9852366653732948,121.16974600326273,78.06893878634068,118.2,0.0,-118.2,HEX
D3,2285.4544111803207,2286.2470776801756,2428.371615508078,2428.371615508078,142.9172043277572,0.9838757721932276,63.06809910971229,1708.1949322101555,0.0,119.99,119.99,HEX
D4,2292.415095220325,2801.9743566685106,3910.8358389822656,4472.410383829282,2179.9952886089573,0.9928429629454903,49.03412687487506,475.8983772304806,45.73,52.34,6.6100000000000065,HEX
D5,2328.1214938743824,2802.347943455035,4007.2837401768766,4485.563466525088,2157.441972650706,0.9990071521542303,56.60904371504371,520.8079972282854,53.47,59.75,6.280000000000001,HEX
D6,2296.2781867463555,2813.0817441480713,3940.4288674177587,4490.610378855957,2194.3321921096012,0.9951441281232641,52.356553394973275,483.61363024108414,48.87,55.85,6.980000000000004,HEX
D7,2245.7794474330894,2744.820837115407,3724.596214114082,4293.383379974422,2047.6039325413321,0.9991183580492178,49.53350704128658,416.1568398680881,45.55,53.51,7.960000000000001,HEX
D8,2370.9020575119803,2885.5931138531137,4081.649523966659,4602.819559019847,2231.9175015078663,0.9965420059567958,57.64845070817211,515.4012646356338,54.22,61.08,6.859999999999999,HEX
D9,2284.587144243189,2872.4596690412027,4006.5014253725026,4583.423860435712,2298.8367161925235,0.9994615609400568,61.79622496669038,484.29388663430706,58.03,65.56,7.530000000000001,HEX
D10,2199.623957995585,2216.023151797445,2256.7950438041444,2383.689621186561,184.065663190976,0.9900587854663138,19.679765223376155,7.293964229293172,9.66,29.7,20.04,HEX
D11,2369.1547129659216,2909.5602712182344,3914.633139075899,4448.529940652249,2079.3752276863274,0.9976850934346865,60.839311833956124,410.14333496286923,52.01,69.67,17.660000000000004,HEX
D12,2340.025155402491,2801.693829935669,3653.8708458762526,4170.757298192833,1830.7321427903426,0.9991284217139239,52.67921426861058,348.383958495945,45.2,60.16,14.959999999999994,HEX
E1,2367.034043900395,2410.9690866339706,2521.1346086248245,2622.519109082197,255.48506518180193,0.9979231019826502,42.267163746310665,22.33865896975354,21.38,63.15,41.769999999999996,HEX
E2,2336.729476196251,2707.6948235565023,2895.464381851327,2912.7845384749494,576.0550622786982,0.9959350958165047,116.8469036499622,78.13097309088909,114.35,119.34,4.990000000000009,HEX
E3,2400.1108199207824,2468.172383098345,2541.1416663309747,2724.783820920228,324.6730009994458,0.9969015818943199,35.31516066348975,13.633239899567398,25.27,45.36,20.09,HEX
E4,2465.045820862237,2901.7325177391954,4099.262031016683,4536.783102761347,2071.7372818991103,0.9978758280555999,45.62746987018582,518.6248797068399,42.93,48.32,5.390000000000001,HEX
E5,2515.5072382509998,2986.1604969981945,4225.830443019009,4710.776108552956,2195.2688703019567,0.9935357939336351,42.622262588272164,536.1672949999355,39.64,45.61,5.969999999999999,HEX
E6,2391.1830192315847,2874.7598624072148,3976.0866651854076,4512.48743070808,2121.3044114764953,0.9988409595535244,47.13372192638285,470.5347182711111,42.27,52.0,9.729999999999997,HEX
E7,2507.601553238365,3050.548323205011,4166.724158100157,4824.662031758308,2317.0604785199434,0.9953422518241214,43.4206052522141,478.8366139519893,40.63,46.21,5.579999999999998,HEX
E8,2439.0149671555187,2964.388119499435,4158.617483594519,4777.220408528796,2338.205441373277,0.9988072016719403,41.48048212881044,511.6387004150487,37.86,45.1,7.240000000000002,HEX
E9,2522.6231091711875,3028.492069751901,4256.667229654836,4820.541047845471,2297.917938674284,0.9975735689114217,41.43749233119839,528.640118620358,37.92,44.96,7.039999999999999,HEX
E10,2296.2687864904115,2671.9413767829014,3064.549095323685,3178.4129224048547,882.1441359144433,0.9983647341895109,108.12896512674146,161.0868247341284,102.62,113.64,11.019999999999996,HEX
E11,2382.1273662204308,2803.9727645646467,3789.8893364539404,4259.785632080363,1877.6582658599323,0.9994116151787096,45.14267593657249,422.1321258771276,40.64,49.65,9.009999999999998,HEX
E12,2412.112273234889,2898.9324689392847,3864.573834767805,4430.947175384323,2018.8349021494337,0.997498360307889,48.4308230478501,405.1323671318349,42.83,54.03,11.200000000000003,HEX
F1,2440.067165629108,2501.895496881988,2603.421228005702,2760.1788912026323,320.1117255735244,0.9990530864727633,38.065772954369464,19.223420103756766,23.41,52.72,29.31,HEX
F2,2441.92124687309,2499.7153331470527,2603.81633140642,2772.2383403668578,330.31709349376797,0.9992301216934358,35.26295714279205,20.017592509584944,20.84,49.68,28.84,HEX
F3,2444.416976091298,3020.78612327931,3868.014078961628,4154.620585421922,1710.2036093306247,0.9995944621028605,108.30417216643782,359.8046524100048,104.13,112.48,8.350000000000009,HEX
F4,2476.093429405503,2917.179804139065,4151.487841627984,4592.360168834941,2116.266739429438,0.998549373346052,42.484183238726004,535.3282278306078,38.91,46.06,7.150000000000006,HEX
F5,2444.5545959318465,2909.2650739366127,3926.173667402131,4379.723255581015,1935.1686596491686,0.9968529994958464,63.37827550708946,437.99476185803127,60.56,66.2,5.640000000000001,HEX
F6,2460.952573384894,2958.9736969818205,4131.46118809857,4683.666927720338,2222.714354335444,0.9976986049317312,44.68483678594799,504.3262171053502,41.19,48.18,6.990000000000002,HEX
F7,2410.673812408026,2932.845460945781,4042.4717192878543,4668.696000895186,2258.0221884871603,0.9949719542401261,42.985526556879485,475.9424421705376,40.07,45.9,5.829999999999998,HEX
F8,2404.1974643692406,2888.830778112421,3975.8788979348255,4545.848696576601,2141.65123220736,0.9978529476683327,42.34700673321742,464.78711619366715,38.41,46.29,7.880000000000003,HEX
F9,2500.431177523137,3039.3576100425166,4282.571518659742,4892.6589482918325,2392.2277707686953,0.9977927192521886,43.90070712222708,534.145466871008,40.8,47.0,6.200000000000003,HEX
