,F_max,C_half,k,F_b,DriftSlope,Fluorophore
E10,6937.614116694196,108.80557416851627,4.16333480069231,4053.601349058373,24.364078130571926,FAM
E11,18281.387802973564,45.27075613376416,3.4846424358743424,4575.855855322203,10.648989706894127,FAM
E12,18117.030587238263,47.82266451169499,4.412683809862992,4611.0261186892485,24.34477500170368,FAM
F1,447.69134814664017,143.82080105760824,0.836709064908091,4815.83341276718,28.396424191593177,FAM
F2,250.2897309215009,143.46305186319682,1.1100876376531223,4909.279130936961,29.144665884664793,FAM
F3,15236.842393442652,108.63891171317123,3.1549139597246136,4759.963999400167,29.357279186399843,FAM
F4,22816.619648321055,42.484975510022416,2.6210159518987948,5479.174265810041,-9.965003209507143,FAM
F5,18780.016567258124,63.20843912813858,2.181151834655476,5085.525304397803,14.233784749324734,FAM
F6,21092.278307019296,44.88886984036106,2.736254269337823,4977.612994751332,13.64855972592177,FAM
F7,20519.781723197808,42.784477903767566,2.343261787448072,4983.601820796487,19.896187607123355,FAM
F8,19844.275378225142,41.96456716677232,3.0491026275045976,4731.005882451243,17.384989815540216,FAM
F9,22361.389463912936,43.563764058471804,2.502936349273564,5237.328985768201,15.610062116292246,FAM
F10,5834.292347355845,109.25225219896528,4.5589993693394595,3906.525093759387,24.77739312691461,FAM
F11,21052.20811651938,52.31289372295902,7.109597578051771,5014.446818547158,11.611384880331588,FAM
F12,21123.92672043053,55.15238333892785,5.629619151378202,5083.261608373262,26.903385762011954,FAM
G1,12543.328947695327,109.52092977208494,3.0072423709018583,4120.579558174311,23.325144075231318,FAM
G2,15407.078435154663,98.07149654146376,2.9062515368453656,4213.188363733665,27.941369203965625,FAM
G3,15331.23449748876,111.62191888590286,3.237573997507264,4541.233513627761,26.8613901989676,FAM
G4,22482.10105101319,41.568851123445924,2.685149725286991,4888.891488800473,10.498750734850542,FAM
G5,22665.01376590953,43.90631585965143,2.689670546868985,5045.495157112904,16.93124389754099,FAM
