,F_max,C_half,k,F_b,DriftSlope
D7,17133.095015087143,49.079507993369695,2.9528097981663017,3920.6626095360466,23.047646379946155
D8,21077.669301920927,57.316774072448716,2.7183790992939816,4760.378201481134,6.097052769009265
D9,19420.243590595597,61.71190735888187,2.8304964763863,4116.081404835827,21.58981716660673
D10,329.4540911876338,18.707774282080468,7.599461830480895,3451.096158201052,13.926483786704155
D11,17525.398414404055,60.748298246038566,6.531098520933505,4532.356090029179,32.143833568489256
D12,15660.478692453296,51.7932396527633,6.006832086150723,4298.783820608337,28.260911437385573
E1,24.33024695837355,143.60060278337798,0.9107839893847072,4460.913660577621,23.817044871522942
E2,2857.816909281209,116.9044866854772,1.8977712983404385,4432.591071463681,27.198564982497572
E3,34426.93678455059,123.8912557529111,0.7923806319305278,4813.111130079112,29.184412176201608
E4,22170.489274920234,45.342690277257525,2.136749797753456,5490.899091072165,-6.1789539715125965
E5,23018.005157128806,42.44510892382135,2.3782192687399424,5622.525503151971,-2.50529477293184
E6,20315.22280832034,47.523902479861206,3.9032895669303302,4826.578724484311,15.92506912567562
E7,21091.190737777662,43.12099960477867,2.2949451584639764,5260.399367418082,23.155717542392544
E8,22166.926891890573,41.714906194003284,2.7694913765535873,5057.393156550697,17.330588911098726
E9,22731.473504088233,41.005242429760706,2.7180110796755366,5272.121705960807,8.276694972963009
E10,6937.614078337607,108.80557411157066,4.1633347588889675,4053.6013483613256,24.364078160388353
E11,18281.387831371863,45.2707561352295,3.4846424511338556,4575.855858056854,10.648989370523527
E12,18117.030397241433,47.822664479649966,4.4126837057439126,4611.026097244269,24.34477717908512
F1,436.33732575394976,143.9731609933744,0.5124965541411963,4815.833363177537,28.39642480594933
F2,250.30815409821685,143.99903454035993,0.8646736527091791,4909.279130785417,29.144665888401708
F3,15236.842384307216,108.63891170892629,3.154913955061085,4759.9639986332095,29.357279204670363
F4,22816.619799481727,42.48497552102033,2.6210159730517484,5479.174298432736,-9.965005346015142
F5,18780.0165371425,63.20843912670915,2.18115181597082,5085.5252953344225,14.23378514330748
F6,21092.27841587826,44.88886985055704,2.7362543022363894,4977.613016853285,13.648558249263576
F7,20519.782009326544,42.78447794180462,2.343261843569901,4983.601891154725,19.896183488693076
F8,19844.275381864456,41.964567168864505,3.049102624741208,4731.005881673271,17.384989779721906
F9,22361.3895919494,43.563764059549555,2.502936377036187,5237.329011295418,15.610060343671824
F10,5834.292312374482,109.25225215601078,4.5589993233182,3906.5250905797984,24.777393213553957
F11,21052.210164792,52.3128938420423,7.109598411656312,5014.44701263344,11.61136279258685
F12,21123.92677177028,55.152383343765955,5.629619176442737,5083.261615722493,26.903385197701642
G1,12543.328954046847,109.5209297729882,3.007242374043212,4120.57956021914,23.325144033666614
G2,15407.078451442907,98.07149654141435,2.9062515435203036,4213.188371431626,27.941369034369743
G3,15331.234423822672,111.62191884697582,3.23757396866784,4541.233512080982,26.861390247271803
G4,22482.100883995718,41.56885111666966,2.6851496902839105,4888.891464320102,10.498752955489746
G5,22665.01384951465,43.906315865230695,2.6896705706686244,5045.495174327969,16.93124275883493
G6,19645.621458028094,56.875336707572245,2.6259934513281427,4783.371727095787,23.24531538592118
G7,19030.840702443227,46.01782082692375,2.8979285216139834,4551.392363089997,17.295217559700255
G8,18607.330570819828,52.91486261666643,3.14452281798,4581.627302658779,19.57809105652247
G9,21195.7663342612,48.06440638197554,2.4485439920261403,4949.5914047581045,15.30762560660083
G10,63.72382536342627,6.233744167230296e-11,15.645830385690832,2217.242496801713,0.3643903270901757
G11,41.55153637146328,9.427706880922724e-19,26.47425704517828,2270.9852584887312,0.34321861417097893
G12,46.58930304948942,7.064536747112039,17.98706639374418,2196.2703098190646,0.261006158361717
H1,12344.10470486342,108.2742852165287,3.5845070499611085,3815.311765110389,16.87370401490621
H2,15290.61564869092,81.8129623856461,2.4539599959537894,4342.56573817635,26.280950293391122
H3,17118.112574148814,92.9726024269007,2.7104421844136635,4231.255031379918,29.947292381094748
H4,23201.828314374554,49.65377696130696,5.803985482907599,4425.069006840375,14.979547950955052
H5,23433.587553875,61.043847091519226,2.2998201464985653,5026.131566781027,14.11783587457575
H6,23849.290575002527,49.92029558037456,2.3676226221478354,4686.475808494911,33.81838758181817
H7,25851.742991586216,49.89733094262995,2.840331804688369,5110.443280843292,17.14291766360235
H8,24362.367792374807,49.68389686905504,2.722412280571356,5010.0551037601135,23.290527540445368
H9,23944.6331332932,51.32688073936016,2.623088633902828,5129.547358691843,18.56683833638053
H10,26.045567372924282,35.20835616359939,5.289036145844323,2192.9850913210025,0.8424848779337577
H11,37.758814972384926,12.506714920130996,16.270352054032575,2230.0131100419103,0.3722153354409942
H12,106.98026833744923,1.2573143666792825e-12,10.259195675147803,2145.323659061779,0.7306190592095635
